203 23021 621 26388 296 5 314 6783
204 22949 608 26507 282 8 322 6834
205 23000 622 26412 273 8 336 6796
206 22938 610 26480 282 12 322 6827
207 22885 603 26536 271 9 331 6812
208 22968 614 26494 279 6 330 6810
209 22992 621 26423 283 7 325 6818
210 23066 577 26416 280 7 326 6868
211 22877 609 26481 283 10 320 6842
212 22708 647 26643 293 9 316 6816
213 22751 584 26514 290 8 329 6884
214 22829 594 26489 276 11 331 6833
215 22625 590 26624 272 8 340 6860
216 22609 606 26677 280 4 344 6833
217 22705 649 26551 250 10 358 6781
218 22821 617 26482 262 5 361 6796
219 22624 595 26695 252 7 372 6841
220 22681 601 26647 286 6 340 6836
221 22896 591 26494 275 12 337 6830
222 22817 635 26588 283 5 343 6803
223 22830 594 26484 280 7 341 6832
224 22951 615 26410 276 11 341 6839
225 23007 564 26395 280 12 334 6867
226 22656 621 26656 286 6 332 6810
227 22840 609 26539 291 9 318 6800
228 22858 651 26477 299 6 304 6781
229 22692 621 26599 283 9 307 6805
230 22956 611 26326 267 10 313 6827
231 22946 622 26400 276 7 305 6827
232 22880 569 26339 289 4 296 6854
