time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
3885,0,0,51,21,80,875,1176,650
3890,0,0,51,21,89,880,1183,631
3895,0,0,67,25,78,856,1159,666
3900,0,0,63,15,76,916,1208,614
3905,0,0,43,20,83,849,1152,671
3910,0,0,43,15,79,900,1209,606
3915,0,0,38,19,67,871,1161,661
3920,0,0,51,16,79,902,1156,654
3925,0,0,44,27,75,916,1160,638
3930,0,0,55,16,80,880,1111,679
3935,0,0,43,19,96,937,1168,628
3940,0,0,51,27,84,866,1125,657
3945,0,0,54,19,91,948,1180,609
3950,0,0,47,29,83,880,1138,674
3955,0,0,49,17,93,919,1150,660
3960,0,0,51,28,82,890,1147,646
3965,0,0,62,14,78,902,1152,642
3970,0,0,53,23,76,882,1161,625
3975,0,0,53,16,87,875,1145,641
3980,0,0,47,19,81,895,1143,634
3985,0,0,53,19,76,889,1153,635
3990,0,0,44,24,78,875,1118,677
3995,0,0,54,19,90,935,1153,642
4000,0,0,51,20,78,906,1136,671
4005,0,0,47,23,72,917,1151,638
4010,0,0,47,20,76,883,1127,671
4015,0,0,45,22,72,914,1131,646
4020,0,0,55,15,78,936,1130,650
4025,0,0,46,26,88,906,1133,643
4030,0,0,48,16,89,914,1128,659
4035,0,0,40,22,86,901,1124,645
4040,0,0,55,15,80,885,1129,625
4045,0,0,50,13,72,854,1080,679
4050,0,0,49,25,81,936,1144,621
4055,0,0,46,16,79,871,1072,680
4060,0,0,44,19,78,925,1111,627
4065,0,0,45,18,76,899,1112,618
4070,0,0,51,17,82,886,1096,641
4075,0,0,40,18,68,885,1080,665
4080,0,0,48,24,77,949,1142,609
4085,0,0,50,17,81,863,1077,674
4090,0,0,48,24,73,934,1164,594
4095,0,0,48,21,97,833,1104,652
4100,0,0,51,16,89,887,1174,586
4105,0,0,45,15,97,836,1101,669
4110,0,0,53,24,76,916,1185,581
4115,0,0,53,22,75,810,1096,656
4120,0,0,50,23,82,885,1148,599
4125,0,0,54,13,73,835,1103,637
4130,0,0,41,23,76,885,1135,606
4135,0,0,52,9,70,884,1100,656
4140,0,0,52,17,68,901,1145,605
4145,0,0,38,21,86,851,1111,651
4150,0,0,47,16,72,886,1133,621
4155,0,0,45,17,78,874,1149,616
4160,0,0,52,18,78,853,1129,640
4165,0,0,59,17,79,869,1144,625
4170,0,0,57,21,80,870,1138,637
4175,0,0,49,17,92,882,1146,626
4180,0,0,51,18,86,871,1111,653
