time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4390,0,0,72,39,59,889,1269,622
4395,0,0,68,29,66,812,1186,694
4400,0,0,63,31,62,927,1283,600
4405,0,0,65,31,62,821,1178,710
4410,0,0,62,32,68,911,1277,592
4415,0,0,76,37,63,824,1178,702
4420,0,0,71,30,71,920,1256,622
4425,0,0,79,39,57,827,1199,658
4430,0,0,72,37,68,901,1227,631
4435,0,0,67,32,71,852,1172,694
4440,0,0,67,29,83,928,1254,605
4445,0,0,62,38,70,851,1179,693
4450,0,0,71,37,71,900,1222,641
4455,0,0,62,39,73,883,1203,658
4460,0,0,87,28,70,919,1199,657
4465,0,0,65,36,78,881,1173,674
4470,0,0,72,34,67,931,1209,637
4475,0,0,65,35,65,874,1183,666
4480,0,0,61,26,66,905,1210,644
4485,0,0,64,32,81,878,1194,665
4490,0,0,75,26,85,889,1198,661
4495,0,0,54,41,67,902,1233,623
4500,0,0,69,35,67,854,1171,677
4505,0,0,62,36,72,905,1229,612
4510,0,0,67,30,75,851,1181,655
4515,0,0,61,28,73,884,1166,684
4520,0,0,50,33,69,886,1190,635
4525,0,0,62,30,64,850,1152,669
4530,0,0,60,27,62,893,1194,633
4535,0,0,59,25,69,871,1176,659
4540,0,0,57,23,72,883,1185,633
4545,0,0,46,25,79,882,1166,673
4550,0,0,61,27,63,899,1224,610
4555,0,0,60,31,71,849,1201,646
4560,0,0,65,25,62,854,1202,651
4565,0,0,70,30,63,880,1235,631
4570,0,0,65,35,63,852,1188,671
4575,0,0,75,24,72,871,1240,618
4580,0,0,61,38,76,838,1205,653
4585,0,0,58,20,58,886,1234,624
4590,0,0,49,32,71,832,1224,638
4595,0,0,68,25,82,841,1243,616
4600,0,0,46,26,85,827,1201,654
4605,0,0,54,33,81,866,1238,618
4610,0,0,72,27,67,821,1210,640
4615,0,0,69,34,79,834,1235,613
4620,0,0,81,25,74,819,1203,640
4625,0,0,59,47,77,837,1219,629
4630,0,0,82,36,78,854,1237,627
4635,0,0,75,31,63,854,1231,631
4640,0,0,65,28,81,863,1261,617
4645,0,0,58,22,84,841,1224,664
4650,0,0,49,17,73,835,1241,632
4655,0,0,33,26,69,821,1231,643
4660,0,0,56,25,75,824,1225,639
4665,0,0,59,25,77,853,1212,644
4670,0,0,49,32,67,850,1228,620
4675,0,0,57,36,81,839,1212,639
4680,0,0,59,26,77,868,1222,625
4685,0,0,54,31,70,865,1217,642
4690,0,0,51,25,79,884,1236,629
4695,0,0,60,22,80,836,1187,679
4700,0,0,52,37,77,868,1233,623
4705,0,0,57,30,80,846,1204,643
4710,0,0,74,29,70,865,1217,626
4715,0,0,73,36,66,848,1202,649
4720,0,0,65,30,61,916,1235,629
4725,0,0,55,44,64,832,1179,676
4730,0,0,75,28,66,909,1261,598
4735,0,0,68,30,62,834,1169,689
4740,0,0,58,35,67,906,1249,604
4745,0,0,63,36,62,844,1188,671
4750,0,0,65,22,67,891,1238,627
4755,0,0,52,25,65,816,1207,656
4760,0,0,56,21,56,871,1263,611
4765,0,0,53,27,61,804,1219,670
4770,0,0,63,32,72,870,1276,626
4775,0,0,61,30,65,843,1243,662
4780,0,0,57,35,49,862,1294,625
4785,0,0,63,19,54,845,1248,672
4790,0,0,68,24,61,857,1278,642
4795,0,0,66,31,61,832,1243,671
4800,0,0,63,31,54,876,1262,656
4805,0,0,69,23,63,861,1251,655
4810,0,0,61,35,62,882,1278,640
4815,0,0,63,22,57,861,1261,677
4820,0,0,55,29,54,848,1308,623
4825,0,0,61,29,63,833,1285,651
4830,0,0,52,26,75,847,1295,646
4835,0,0,56,31,73,843,1291,653
4840,0,0,63,26,66,816,1295,649
4845,0,0,60,26,67,844,1298,648
4850,0,0,57,26,82,831,1276,669
4855,0,0,68,26,63,868,1300,663
4860,0,0,75,34,65,880,1315,654
4865,0,0,73,31,68,854,1283,677
4870,0,0,62,35,67,881,1305,651
4875,0,0,61,28,62,852,1276,680
4880,0,0,53,34,55,867,1315,632
4885,0,0,58,25,56,815,1250,687
4890,0,0,56,26,65,877,1312,627
4895,0,0,58,27,55,823,1244,693
4900,0,0,52,30,70,897,1282,658
4905,0,0,58,20,65,861,1287,655
4910,0,0,40,25,71,847,1276,669
4915,0,0,66,21,75,900,1331,636
4920,0,0,49,22,68,816,1276,682
4925,0,0,55,20,68,857,1318,643
4930,0,0,50,33,56,811,1273,687
